CarType	Price	Age	Mileage	Car	Porsche	Jaguar	BMW
Porsche	69.4	3	21.5	0	1	0	0
Porsche	56.9	3	43	0	1	0	0
Porsche	49.9	2	19.9	0	1	0	0
Porsche	47.4	4	36	0	1	0	0
Porsche	42.9	4	44	0	1	0	0
Porsche	36.9	6	49.8	0	1	0	0
Porsche	83	0	1.3	0	1	0	0
Porsche	72.9	0	0.67	0	1	0	0
Porsche	69.9	2	13.4	0	1	0	0
Porsche	67.9	0	9.7	0	1	0	0
Porsche	66.5	2	15.3	0	1	0	0
Porsche	64.9	2	9.5	0	1	0	0
Porsche	58.9	4	19.1	0	1	0	0
Porsche	57.9	3	12.9	0	1	0	0
Porsche	54.9	10	33.9	0	1	0	0
Porsche	54.7	11	26	0	1	0	0
Porsche	53.7	4	20.4	0	1	0	0
Porsche	51.9	4	27.5	0	1	0	0
Porsche	51.9	10	51.7	0	1	0	0
Porsche	49.9	3	32.4	0	1	0	0
Porsche	44.9	4	44.1	0	1	0	0
Porsche	44.8	13	49.8	0	1	0	0
Porsche	39.9	6	35	0	1	0	0
Porsche	39.7	6	20.5	0	1	0	0
Porsche	34.9	8	62	0	1	0	0
Porsche	33.9	7	50.4	0	1	0	0
Porsche	23.9	20	89.6	0	1	0	0
Porsche	22.9	22	83.4	0	1	0	0
Porsche	16	20	86	0	1	0	0
Porsche	52.9	3	37.4	0	1	0	0
Jaguar	13.9	5	47.7	1	0	1	0
Jaguar	19.9	6	44.6	1	0	1	0
Jaguar	25.9	4	35.3	1	0	1	0
Jaguar	46.9	2	19.6	1	0	1	0
Jaguar	12.9	7	71	1	0	1	0
Jaguar	39.9	3	41	1	0	1	0
Jaguar	14.9	7	69.4	1	0	1	0
Jaguar	13.9	8	44.1	1	0	1	0
Jaguar	25	5	7.9	1	0	1	0
Jaguar	64.9	1	10.7	1	0	1	0
Jaguar	24.9	3	17	1	0	1	0
Jaguar	22.9	4	43.4	1	0	1	0
Jaguar	12.9	6	61.3	1	0	1	0
Jaguar	19.9	10	53.3	1	0	1	0
Jaguar	22.9	8	70	1	0	1	0
Jaguar	35.9	4	33.3	1	0	1	0
Jaguar	19.9	10	53.3	1	0	1	0
Jaguar	26.9	6	32.6	1	0	1	0
Jaguar	16.9	5	43.8	1	0	1	0
Jaguar	32.6	2	17.7	1	0	1	0
Jaguar	19.9	8	73	1	0	1	0
Jaguar	19.9	6	45.4	1	0	1	0
Jaguar	70	2	4.9	1	0	1	0
Jaguar	64.9	2	7.3	1	0	1	0
Jaguar	50	5	30.3	1	0	1	0
Jaguar	49.9	4	8.6	1	0	1	0
Jaguar	47.9	2	9.6	1	0	1	0
Jaguar	29.9	5	30	1	0	1	0
Jaguar	46.9	4	27.2	1	0	1	0
Jaguar	45.6	5	23.8	1	0	1	0
BMW	12.9	11	55	2	0	0	1
BMW	25	7	40.9	2	0	0	1
BMW	12	12	100.7	2	0	0	1
BMW	21.9	7	68.2	2	0	0	1
BMW	21.9	8	68.7	2	0	0	1
BMW	22.9	8	68.5	2	0	0	1
BMW	23.9	6	60.2	2	0	0	1
BMW	25.9	6	50	2	0	0	1
BMW	26.5	7	71.2	2	0	0	1
BMW	26.9	7	69	2	0	0	1
BMW	27.9	5	66.8	2	0	0	1
BMW	27.9	6	39.5	2	0	0	1
BMW	64.9	1	6.9	2	0	0	1
BMW	35.9	4	31.8	2	0	0	1
BMW	33.5	4	51.2	2	0	0	1
BMW	28.5	6	60.1	2	0	0	1
BMW	26.9	7	69	2	0	0	1
BMW	29.9	5	69.3	2	0	0	1
BMW	27.9	6	61.7	2	0	0	1
BMW	30.9	5	42.7	2	0	0	1
BMW	52.9	2	6.9	2	0	0	1
BMW	36	4	31.8	2	0	0	1
BMW	30.9	4	50.9	2	0	0	1
BMW	70.5	1	6.8	2	0	0	1
BMW	18	7	91.1	2	0	0	1
BMW	26.9	6	68.1	2	0	0	1
BMW	30	6	46.8	2	0	0	1
BMW	36	5	46.8	2	0	0	1
BMW	38	4	36.1	2	0	0	1
BMW	13.8	7	59	2	0	0	1
